NAME_OF_TOWN,STATE,TYPE,POPULATION
RAWATSAR,RAJASTHAN,M,28
RAXAUL BAZAR,BIHAR,M,41
RAYACHOTI,ANDHRA PRADESH,C.T,72
RAYADURG,ANDHRA PRADESH,M,54
RAYAGADA,ODISHA,M,57
REENGUS,RAJASTHAN,M,22
REHLI,MADHYA PRADESH,M,25
RENIGUNTA,ANDHRA PRADESH,C.T,23
RENUKOOT,UTTAR PRADESH,UA,66
REOTI,UTTAR PRADESH,N.P,22
REPALLE,ANDHRA PRADESH,M,42
REVELGANJ,BIHAR,M,34
RISHIKESH,UTTARAKHAND,UA,78
RISOD,MAHARASHTRA,M.CL,27
ROBERTSGANJ,UTTAR PRADESH,M.B,32
RON,KARNATAKA,T.P,21
ROSERA,BIHAR,M,27
RUDAULI,UTTAR PRADESH,M.B,36
RUDRAPRAYAG,UTTARAKHAND,N.P.P,9
RUDRAPUR,UTTAR PRADESH,N.P,26
RUPNAGAR,PUNJAB,M.CL,49
SABALGARH,MADHYA PRADESH,UA,34
SADABAD,UTTAR PRADESH,N.P,31
SADASIVPET,TELANGANA,M,36
SADRI,RAJASTHAN,M,24
SADULSHAHAR,RAJASTHAN,M,22
SAFIDON,HARYANA,M.C,27
SAFIPUR,UTTAR PRADESH,N.P,22
SAGARA,KARNATAKA,T.M.C,50
SAGWARA,RAJASTHAN,M,31
SAHASPUR,UTTAR PRADESH,N.P,22
SAHASWAN,UTTAR PRADESH,M.B,58
SAHAWAR,UTTAR PRADESH,N.P,20
SAHIBGANJ,JHARKHAND,M,80
